allegheny,allegheny
anderson,anderson
augsburg univ.,augsburg univ.
augustana,augustana
aurora,aurora
becker,becker
bethany,bethany college (kansas)
bethany lutheran,bethany lutheran
bethel university,bethel university
blackburn,blackburn
briar cliff,briar cliff
buena vista,buena vista university
buena vista univ.,buena vista university
BVU,buena vista university
carleton,carleton college
carleton college,carleton college
carroll university,carroll university
carthage,carthage
central,central college
central college,central college
chicago,university of chicago
clark university,clark university
clarke university,clark university
coe,coe college
coe college,coe college
concordia,concordia (wisconsin)/(nebraska)
concordia chicago,concordia university chicago
concordia-chicago,concordia university chicago
concordia-m'head,concordia college (minnesota)
concorida-chicago,concordia university chicago
cornell,cornell college
cornell college,cornell college
crown,crown
depauw,depauw
doane,doane
dubuque,university of dubuque
"dubuque, univ. of",university of dubuque
edgewood college,edgewood college
elmhurst,elmhurst
fontbonne,fontbonne university
fontbonne university,fontbonne university
framingham state,framingham state
franklin & marshall,franklin & marshall
gallaudet,gallaudet
greenville,greenville
grinnell,grinnell college
grinnell college,grinnell college
grove city,grove city
gustavus adolphus,gustavus adolphus
gwynedd-mercy,gwynedd-mercy
hamline,hamline university
hamline university,hamline university
hendrix,hendrix
hope,hope
husson,husson
illinois wesleyan,illinois wesleyan
iowa,university of iowa
iowa wesleyan,iowa wesleyan
jamestown,jamestown
john carroll,john carroll
kalamazoo,kalamazoo college
kalamazoo college,kalamazoo college
king's college,king's college
knox,knox college
knox college,knox college
lawrence,lawrence university
lawrence university,lawrence university
loras,loras college
loras college,loras college
luther,luther college
luther college,luther college
macalester,macalester
macmurray,macmurray
marian,marian
mass. col. liberal,mass. col. liberal
mcdaniel,mcdaniel
millikin,millikin
monmouth,monmouth college
monmouth college,monmouth college
montclair st.,montclair state
montclair state,montclair state
mount mercy,mount mercy
mount union,mount union
mt. st. joseph,mt. st. joseph
muhlenberg,muhlenberg
neb. wesleyan,nebraska wesleyan university
neb. wesleyan univ.,nebraska wesleyan university
nebraska wesleyan,nebraska wesleyan university
nebraska wesleyan u.,nebraska wesleyan university
new york university,new york university
newbury,newbury
north central,north central
north park univ,north park univ
northland college,northland college
northwestern,northwestern
oberlin college,oberlin college
ohio northern,ohio northern
olivet,olivet
oswego state,oswego state
otterbein university,otterbein university
presentation,presentation college
rhode island,rhode island
rhodes,rhodes college
rockford,rockford university
rockford university,rockford university
roger williams,roger williams
rose-hulman,rose-hulman
rpi,rpi
saint joseph's,st. joseph's
saint mary's,st. mary's
saint vincent,saint vincent
salem st.,salem st.
salve regina,salve regina
simpson,simpson college
simpson college,simpson college
spalding,spalding
st. john's univ.,st. john's univ.
st. joseph's,st. joseph's
st. mary's,st. mary's
st. norbert,st. norbert
st. olaf college,st. olaf college
st. thomas,st. thomas
suny poly,suny poly
thomas more,thomas more
trine,trine
u of dubuque,university of dubuque
umass dartmouth,umass dartmouth
univ. of chicago,university of chicago
univ. of dubuque,university of dubuque
utica,utica
uw-platteville,university of wisconsin-plateville
wabash,wabash
wartburg,wartburg college
wartburg college,wartburg college
washu,washu
webster university,webster university
wesleyan,wesleyan university (connecticut)
wesleyan univ.,wesleyan university (connecticut)
westminster,westminster
widener,widener
wis.-platteville,university of wisconsin-plateville
wis.-superior,wis.-superior
wisconsin lutheran,wisconsin lutheran
wpi,wpi
NA,NA